ID,Departamento,Region,Grado_Academico,Sexo,Canal_empleado,Tiempo_emtrenamiento,Edad,Calificacion_ano_anterior,Duracion_servicio,KPIs>80%,Premio_ganado,Puntuacion_Promedio,Promovido
1,Analytics,region_7,Bachelor's,m,sourcing,2,29,3,5,0,0,85,0
2,Finance,region_2,Master's & above,f,sourcing,1,35,1,2,0,0,63,0
4,Sales & Marketing,region_2,Bachelor's,m,other,1,25,3,2,0,0,53,0
5,Analytics,region_7,Master's & above,m,other,2,46,3,7,0,0,86,0
7,Operations,region_32,Bachelor's,m,other,1,31,3,7,0,0,59,0
8,Sales & Marketing,region_7,Bachelor's,m,other,1,42,5,6,1,0,52,0
9,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,29,5,2,1,0,50,0
10,Operations,region_24,Master's & above,m,other,1,35,4,9,0,0,60,0
12,Technology,region_31,Bachelor's,m,other,1,24,3,2,1,0,77,0
14,Operations,region_2,Bachelor's,f,sourcing,2,38,5,8,1,0,60,0
15,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,39,3,12,0,0,50,0
18,Operations,region_24,Bachelor's,f,sourcing,1,33,3,4,0,1,57,0
26,Procurement,region_34,Bachelor's,m,sourcing,1,29,3,5,1,0,70,0
28,R&D,region_6,Bachelor's,m,other,1,27,5,5,0,0,81,0
32,Operations,region_22,Bachelor's,f,other,2,26,,1,0,0,56,0
33,Technology,region_2,Bachelor's,m,other,1,36,1,3,0,0,77,0
34,Operations,region_14,Bachelor's,m,other,1,43,3,13,0,0,61,0
35,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,42,4,13,0,0,52,0
36,Operations,region_26,Bachelor's,m,other,1,26,4,2,0,0,63,0
37,HR,region_2,Bachelor's,m,other,1,29,5,2,1,0,52,0
38,Analytics,region_32,Bachelor's,m,other,1,26,5,2,0,0,86,0
39,Procurement,region_15,Master's & above,m,other,1,37,4,8,1,0,90,1
42,Analytics,region_31,Bachelor's,m,other,1,29,,1,1,0,85,0
43,Sales & Marketing,region_26,Master's & above,f,other,1,37,1,8,0,0,49,0
44,Operations,region_7,Below Secondary,m,other,2,25,5,3,1,0,60,0
45,Sales & Marketing,region_19,Bachelor's,m,other,1,27,4,4,0,0,50,0
47,Sales & Marketing,region_1,Bachelor's,m,other,1,34,1,10,1,0,82,1
48,Technology,region_11,Bachelor's,f,sourcing,1,32,1,5,0,0,82,0
49,Operations,region_22,Master's & above,m,sourcing,2,39,2,10,0,0,62,0
51,Procurement,region_2,Bachelor's,f,sourcing,1,24,,1,1,0,68,0
52,Operations,region_19,Bachelor's,f,sourcing,1,36,3,4,1,0,63,0
54,Procurement,region_7,Bachelor's,m,sourcing,1,43,3,3,0,0,70,0
56,Sales & Marketing,region_28,Master's & above,m,other,1,36,5,3,1,0,48,1
57,Technology,region_23,Master's & above,m,sourcing,1,38,3,5,1,1,79,1
59,R&D,region_22,Master's & above,m,other,2,28,3,4,0,0,84,0
60,Technology,region_22,Bachelor's,m,other,1,27,3,3,0,0,82,0
61,Analytics,region_7,Master's & above,m,other,1,36,3,2,0,0,84,0
62,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,39,3,8,1,0,50,1
65,Sales & Marketing,region_2,Bachelor's,m,referred,1,26,5,3,1,0,47,0
67,Technology,region_22,Master's & above,m,other,2,45,3,15,0,0,82,0
70,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,33,1,6,0,0,50,0
71,Analytics,region_2,Bachelor's,m,sourcing,1,36,4,6,0,0,88,0
72,Analytics,region_16,Bachelor's,m,other,1,35,3,5,0,0,87,0
74,Operations,region_16,Master's & above,m,other,2,38,2,5,0,0,56,0
76,Procurement,region_2,Master's & above,f,other,1,33,1,3,0,0,71,0
78,Technology,region_2,Bachelor's,f,sourcing,1,52,3,23,0,0,79,0
79,Operations,region_15,Master's & above,f,other,1,34,3,2,0,0,55,0
80,Sales & Marketing,region_12,Master's & above,m,other,1,38,3,8,0,0,52,0
81,Operations,region_4,Master's & above,m,sourcing,1,32,5,6,0,0,58,0
84,Technology,region_23,Bachelor's,f,sourcing,1,31,3,4,0,0,76,0
