N°,UBIGEO,ID,CODIGO NODO,REGIÓN,PROVINCIA,DISTRITO,LOCALIDAD,TIPO DE NODO,NODO CON DIVERSIDAD  DE RUTA,LATITUD,LONGITUD
1,801010001,CU-0372,CU-0372-T01,CUSCO,CUSCO,CUSCO,CUSCO,NODO CORE / NOC,NO,-13.502991,-71.994521
2,801020001,CU-0002,CU-0002-T01,CUSCO,CUSCO,CCORCA,CCORCCA,NODO DE DISTRIBUCIÓN,NO,-13.57752,-72.06193
3,801030001,CU-0373,CU-0373-T01,CUSCO,CUSCO,POROY,POROY,NODO DE DISTRIBUCIÓN,NO,-13.50118,-72.027971
4,801030019,CU-0374,CU-0374-T01,CUSCO,CUSCO,POROY,CRUZ VERDE,NODO DE CONEXIÓN,NO,-13.50284,-72.02171
5,801040001,CU-0375,CU-0375-T01,CUSCO,CUSCO,SAN JERÓNIMO,SAN JERÓNIMO,NODO DE DISTRIBUCIÓN,NO,-13.54943,-71.880722
6,801050001,CU-0376,CU-0376-T01,CUSCO,CUSCO,SAN SEBASTIÁN,SAN SEBASTIÁN,NODO DE DISTRIBUCIÓN,NO,-13.54456,-71.93275
7,801060001,CU-0377,CU-0377-T01,CUSCO,CUSCO,SANTIAGO,SANTIAGO,NODO DE DISTRIBUCIÓN,NO,-13.54528,-71.978595
8,801070001,CU-0378,CU-0378-T01,CUSCO,CUSCO,SAYLLA,SAYLLA,NODO DE DISTRIBUCIÓN,NO,-13.54943,-71.880722
9,801080001,CU-0379,CU-0379-T01,CUSCO,CUSCO,WANCHAQ,WANCHAQ,NODO DE DISTRIBUCIÓN,NO,-13.52843,-71.957289
10,802010001,CU-0380,CU-0380-T01,CUSCO,ACOMAYO,ACOMAYO,ACOMAYO,NODO DE AGREGACIÓN,SI,-13.95084,-71.60571
11,802020001,CU-0007,CU-0007-T01,CUSCO,ACOMAYO,ACOPIA,ACOPIA,NODO DE DISTRIBUCIÓN,SI,-14.05824,-71.49129
12,802030001,CU-0009,CU-0009-T01,CUSCO,ACOMAYO,ACOS,ACOS,NODO DE DISTRIBUCIÓN,NO,-13.95174,-71.73719
13,802040001,CU-0013,CU-0013-T01,CUSCO,ACOMAYO,MOSOC LLACTA,MOSOC LLACTA,NODO DE DISTRIBUCIÓN,SI,-14.11842,-71.47224
14,802050001,CU-0015,CU-0015-T01,CUSCO,ACOMAYO,POMACANCHI,POMACANCHI,NODO DE DISTRIBUCIÓN,NO,-14.03394,-71.56863
15,802060001,CU-0021,CU-0021-T01,CUSCO,ACOMAYO,RONDOCAN,RONDOCAN,NODO DE DISTRIBUCIÓN,NO,-13.77836,-71.781362
16,802070001,CU-0028,CU-0028-T01,CUSCO,ACOMAYO,SANGARARA,SANGARARA,NODO DE DISTRIBUCIÓN,SI,-13.95084,-71.60571
17,803010001,CU-0381,CU-0381-T01,CUSCO,ANTA,ANTA,ANTA,NODO DE AGREGACIÓN,NO,-13.47875,-72.11639
