NODOROUTER_ID,NODO_SITENAME,NODO_PARENTID,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,LOCALIDAD,NODO_TIPONODO,NODO CON DIVERSIDAD DE RUTA
1,APM-TCORE-BR-SRa4-01,AP-0001-BR01,301010001,APURIMAC,ABANCAY,ABANCAY,ABANCAY,CORE,SI
2,APM-TCORE-BR-SRa4-02,AP-0001-BR02,301010001,APURIMAC,ABANCAY,ABANCAY,ABANCAY,CORE,SI
3,APM-TCORE-CR-SRa4-01,AP-0001-CR01,301010001,APURIMAC,ABANCAY,ABANCAY,ABANCAY,CORE,SI
4,APM-TCORE-CR-SRa4-02,AP-0001-CR02,301010001,APURIMAC,ABANCAY,ABANCAY,ABANCAY,CORE,SI
5,APM-TCORE-SW-SRa8-01,AP-0001-SW01,301010001,APURIMAC,ABANCAY,ABANCAY,ABANCAY,CORE,SI
6,APM-TCORE-SW-SRa8-02,AP-0001-SW02,301010001,APURIMAC,ABANCAY,ABANCAY,ABANCAY,CORE,SI
7,APM-CHACOCHE-DI-SASXP-01,AP-0056-T01,301020001,APURIMAC,ABANCAY,CHACOCHE,CHACOCHE,DISTRIBUCION,NO
8,APM-CIRCA-DI-SASXP-01,AP-0077-T01,301030001,APURIMAC,ABANCAY,CIRCA,CIRCA,DISTRIBUCION,NO
9,APM-CURAHUAS-DI-SASXP-01,AP-0090-T01,301040001,APURIMAC,ABANCAY,CURAHUASI,CURAHUASI,DISTRIBUCION,NO
10,APM-HUANIPAC-DI-SASXP-01,AP-0109-T01,301050001,APURIMAC,ABANCAY,HUANIPACA,HUANIPACA,DISTRIBUCION,NO
11,APM-LAMBRAMA-DI-SASXP-01,AP-0128-T01,301060001,APURIMAC,ABANCAY,LAMBRAMA,LAMBRAMA,DISTRIBUCION,NO
12,APM-PICHIRHU-DI-SASXP-01,AP-0195-T01,301070001,APURIMAC,ABANCAY,PICHIRHUA,PICHIRHUA,DISTRIBUCION,NO
13,APM-CACHORA-DI-SASXP-01,AP-0034-T01,301080001,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA,CACHORA,DISTRIBUCION,NO
14,APM-TAMBURCO-DI-SASXP-01,AP-0261-T01,301090001,APURIMAC,ABANCAY,TAMBURCO,TAMBURCO,DISTRIBUCION,NO
"15,APM-ANDAHUAY-AG-SAS6-01,AP-0012-T01,302010001,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,ANDAHUAYLAS,AGREGACION
,SI"
16,APM-ANDARAPA-DI-SASXP-01,AP-0013-T01,302020001,APURIMAC,ANDAHUAYLAS,ANDARAPA,ANDARAPA,DISTRIBUCION,NO
17,APM-CHIARA-DI-SASXP-01,AP-0068-T01,302030001,APURIMAC,ANDAHUAYLAS,CHIARA,CHIARA,DISTRIBUCION,SI
18,APM-HUANCRMA-DI-SASXP-01,AP-0104-T01,302040001,APURIMAC,ANDAHUAYLAS,HUANCARAMA,HUANCARAMA,DISTRIBUCION,NO
19,APM-HUANCARY-DI-SASXP-01,AP-0105-T01,302050001,APURIMAC,ANDAHUAYLAS,HUANCARAY,HUANCARAY,DISTRIBUCION,SI
20,APM-HUAYANA-DI-SASXP-01,AP-0113-T01,302060001,APURIMAC,ANDAHUAYLAS,HUAYANA,HUAYANA,DISTRIBUCION,SI
21,APM-KAQUIABA-DI-SASXP-01,AP-0123-T01,302190001,APURIMAC,ANDAHUAYLAS,KAQUIABAMBA,KAQUIABAMBA,DISTRIBUCION,NO
22,APM-KISHUARA-DI-SASXP-01,AP-0125-T01,302070001,APURIMAC,ANDAHUAYLAS,KISHUARA,KISHUARA,DISTRIBUCION,SI
