Time Logged,Last Time Detected,Site ID,Site Name,Object Type,Object Name,Alarm Name,Probable Cause,Alarm Status,Severity,OLC State,Additional Text,Implicitly Cleared,Alarm Type,Domain,Object ID,Urgency,Acknowledged,Acknowledged By,First Time Detected,Number of Correlated Alarms,Correlating Alarm ID,Number Of Occurrences,Cleared By,Deleted By
2023/01/02 16:46:21 257 COT,2023/01/02 16:45:48 046 COT,10.30.1.96,APM-CHACNA-DI-SASXP-01,netw.NetworkElement,APM-CHACNA-DI-SASXP-01,ReachabilityProblem,ReachabilityTestFailed,deleted,Cleared,In Service,N/A,true,communicationsAlarm,Network,network:10.30.1.96,Indeterminate,false,N/A,2023/01/02 16:45:48 046 COT,0,N/A,1,N/A,N/A
2023/01/02 20:07:28 753 COT,2023/01/02 20:01:58 190 COT,10.30.1.174,APM-VIRUNDO-DI-SASXP-01,netw.NetworkElement,APM-VIRUNDO-DI-SASXP-01,ReachabilityProblem,ReachabilityTestFailed,deleted,Cleared,In Service,N/A,true,communicationsAlarm,Network,network:10.30.1.174,Indeterminate,false,N/A,2023/01/02 20:01:58 190 COT,0,N/A,1,N/A,N/A
2023/01/10 13:10:13 218 COT,2023/01/10 12:52:58 706 COT,10.255.31.16,APR-ABANCAY-TP-O6450-03,netw.NetworkElement,APR-ABANCAY-TP-O6450-03,ReachabilityProblem,ReachabilityTestFailed,deleted,Major,In Service, Note 1------------------------------------------- Time Added           01/10/2023 13:09:59 084 PET Last Time Modified   01/10/2023 13:09:59 084 PET Created By           admin Last Modified By     admin Acknowledgement      yes Status               current Previous Status      unknown Last Status Change   01/10/2023 13:09:59 084 PET Urgency              indeterminate Urgency Assigned By   admin Note Text:  se verifica ingreso al equipo  Revisions: ,true,communicationsAlarm,Network,network:10.255.31.16,Indeterminate,true,admin,2023/01/10 12:52:58 706 COT,0,N/A,1,N/A,admin
2023/01/11 00:38:28 813 COT,2023/01/10 17:23:58 199 COT,10.30.1.44,APM-CACHORA-DI-SASXP-01,netw.NetworkElement,APM-CACHORA-DI-SASXP-01,ReachabilityProblem,ReachabilityTestFailed,deleted,Cleared,In Service,N/A,true,communicationsAlarm,Network,network:10.30.1.44,Indeterminate,false,N/A,2023/01/10 17:23:58 199 COT,0,N/A,1,N/A,N/A
2023/01/11 00:38:28 813 COT,2023/01/10 17:23:58 197 COT,10.30.1.42,APM-HUANIPAC-DI-SASXP-01,netw.NetworkElement,APM-HUANIPAC-DI-SASXP-01,ReachabilityProblem,ReachabilityTestFailed,deleted,Cleared,In Service,N/A,true,communicationsAlarm,Network,network:10.30.1.42,Indeterminate,false,N/A,2023/01/10 17:23:58 197 COT,0,N/A,1,N/A,N/A
2023/01/11 00:43:28 757 COT,2023/01/10 17:23:58 198 COT,10.30.1.46,APM-CURAHUAS-DI-SASXP-01,netw.NetworkElement,APM-CURAHUAS-DI-SASXP-01,ReachabilityProblem,ReachabilityTestFailed,deleted,Cleared,In Service,N/A,true,communicationsAlarm,Network,network:10.30.1.46,Indeterminate,false,N/A,2023/01/10 17:23:58 198 COT,0,N/A,1,N/A,N/A
2023/01/11 08:47:29 121 COT,2023/01/11 08:45:58 200 COT,10.30.1.46,APM-CURAHUAS-DI-SASXP-01,netw.NetworkElement,APM-CURAHUAS-DI-SASXP-01,ReachabilityProblem,ReachabilityTestFailed,deleted,Cleared,In Service,N/A,true,communicationsAlarm,Network,network:10.30.1.46,Indeterminate,false,N/A,2023/01/11 08:45:58 200 COT,0,N/A,1,N/A,N/A
2023/01/11 09:02:28 802 COT,2023/01/11 08:57:58 166 COT,10.30.1.46,APM-CURAHUAS-DI-SASXP-01,netw.NetworkElement,APM-CURAHUAS-DI-SASXP-01,ReachabilityProblem,ReachabilityTestFailed,deleted,Cleared,In Service,N/A,true,communicationsAlarm,Network,network:10.30.1.46,Indeterminate,false,N/A,2023/01/11 08:57:58 166 COT,0,N/A,1,N/A,N/A
2023/01/11 10:18:38 396 COT,2023/01/11 10:02:58 744 COT,10.30.1.42,APM-HUANIPAC-DI-SASXP-01,netw.NetworkElement,APM-HUANIPAC-DI-SASXP-01,ReachabilityProblem,ReachabilityTestFailed,deleted,Cleared,In Service,N/A,true,communicationsAlarm,Network,network:10.30.1.42,Indeterminate,false,N/A,2023/01/11 10:02:58 744 COT,0,N/A,1,N/A,N/A
2023/01/11 10:19:38 411 COT,2023/01/11 10:02:58 794 COT,10.30.1.44,APM-CACHORA-DI-SASXP-01,netw.NetworkElement,APM-CACHORA-DI-SASXP-01,ReachabilityProblem,ReachabilityTestFailed,deleted,Cleared,In Service,N/A,true,communicationsAlarm,Network,network:10.30.1.44,Indeterminate,false,N/A,2023/01/11 10:02:58 794 COT,0,N/A,1,N/A,N/A
