POP ID,NSG,Institución
MQ-A-3002-DS-R-S01-01,MQ_A_3002_CS_1,C.S. PUENTE BELLO
MQ-A-3002-DS-R-S01-01,MQ_A_3002_IE_1,TITIRE
MQ-A-3003-DS-R-S01-01,MQ_A_3003_CS_1,C.S. CAMBRUNE
MQ-A-3003-DS-R-S01-01,MQ_A_3027_IE_1,43042
MQ-A-3003-DS-R-S01-02,MQ_A_3003_IE_1,CAMBRUNE
MQ-A-3003-DS-R-S01-03,MQ_A_3028_IE_1,43043
MQ-A-3005-DS-R-S01-01,MQ_A_3005_CS_1,C.S. CALACOA
MQ-A-3005-DS-R-S01-01,MQ_A_3005_DP_1,CPNP SAN CRISTOBAL - CALACOA
MQ-A-3005-DS-R-S01-02,MQ_A_3005_IE_1,CESAR VALLEJO
MQ-A-3005-DS-R-S01-02,MQ_A_3005_IE_2,CESAR VALLEJO
MQ-A-3005-DS-R-S01-02,MQ_A_3061_IE_1,43036
MQ-A-3005-DS-R-S01-03,MQ_A_3004_CS_1,C.S. CUCHUMBAYA
MQ-A-3005-DS-R-S01-03,MQ_A_3004_IE_1,43051
MQ-A-3006-DS-R-S01-01,MQ_A_3006_CS_1,P.S. YACANGO
MQ-A-3006-DS-R-S01-02,-,-
MQ-A-3006-DS-R-S01-03,-,-
MQ-A-3008-DS-R-S01-01,MQ_A_3008_CS_1,C.S. COALAQUE
MQ-A-3008-DS-R-S01-01,MQ_A_3008_IE_1,43075 ALMIRANTE MIGUEL GRAU SEMINARIO
MQ-A-3008-DS-R-S01-01,MQ_A_3008_IE_2,SAN PEDRO
MQ-A-3008-DS-R-S01-02,MQ_A_3066_IE_1,43061
MQ-A-3009-DS-R-S01-01,MQ_A_3009_CS_1,C.S. ICHU@A
MQ-A-3009-DS-R-S01-01,MQ_A_3009_DP_1,CPNP ICHU@A
MQ-A-3009-DS-R-S01-01,MQ_A_3009_IE_1,200 / ICHU@A / MARISCAL RAMON CASTILLA
MQ-A-3009-DS-R-S01-02,-,-
MQ-A-3010-DS-R-S01-01,MQ_A_3010_IE_1,270 / LA CAPILLA
MQ-A-3011-DS-R-S01-01,MQ_A_3011_CS_1,C.S. LLOQUE
MQ-A-3011-DS-R-S01-01,MQ_A_3011_IE_1,ELIAS AGUIRRE ROMERO
MQ-A-3012-DS-R-S01-01,-,-
MQ-A-3012-DS-R-S01-02,MQ_A_3012_CS_1,C.S. MATALAQUE
MQ-A-3012-DS-R-S01-02,MQ_A_3012_IE_1,RICARDO PALMA
MQ-A-3012-DS-R-S01-03,-,-
MQ-A-3013-DS-R-S01-01,MQ_A_3050_IE_1,43085
MQ-A-3013-DS-R-S01-02,MQ_A_3069_IE_1,43067
MQ-A-3013-DS-R-S01-03,MQ_A_3013_CS_1,C.S. PUQUINA
MQ-A-3013-DS-R-S01-03,MQ_A_3013_DP_1,CPNP PUQUINA
MQ-A-3013-DS-R-S01-03,MQ_A_3013_IE_1,43081 HORACIO ZEBALLOS GOMEZ
MQ-A-3013-DS-R-S01-03,MQ_A_3013_IE_2,MARIANO LINO URQUIETA
MQ-A-3014-DS-R-S01-01,MQ_A_3014_CS_1,P.S. QUINISTAQUILLAS
MQ-A-3014-DS-R-S01-01,MQ_A_3014_DP_1,CPNP QUINISTAQUILLAS
MQ-A-3014-DS-R-S01-01,MQ_A_3014_IE_1,43087
MQ-A-3014-DS-R-S01-01,MQ_A_3014_IE_2,VICTOR RAUL HAYA DE LA TORRE
MQ-A-3015-DS-R-S01-01,MQ_A_3015_CS_1,C.S. UBINAS
MQ-A-3015-DS-R-S01-01,MQ_A_3015_DP_1,CPNP UBINAS
MQ-A-3015-DS-R-S01-01,MQ_A_3015_IE_1,43120
MQ-A-3015-DS-R-S01-01,MQ_A_3015_IE_2,JOSE CARLOS MARIATEGUI
MQ-A-3015-DS-R-S01-02,MQ_A_3056_IE_1,43125
MQ-A-3016-DS-R-S01-01,MQ_A_3016_CS_1,C.S. YUNGA
MQ-A-3016-DS-R-S01-01,MQ_A_3016_IE_1,ANDRES AVELINO CACERES
MQ-A-3017-DS-R-S01-01,MQ_A_3017_IE_1,43130
MQ-A-3017-DS-R-S01-02,MQ_A_3017_DP_1,CPNP EL ALGARROBAL
MQ-A-3017-DS-R-S01-03,-,-
MQ-A-3022-TE-R-S01-01,MQ_A_3022_IE_1,43002 CESAR VIZCARRA VARGAS
MQ-A-3023-DS-R-S01-01,MQ_A_3023_CS_1,P.S. LOS ANGELES
MQ-A-3023-DS-R-S01-01,MQ_A_3023_DP_1,CPNP LOS ANGELES
MQ-A-3023-DS-R-S01-02,-,-
MQ-A-3024-TE-R-S01-01,MQ_A_3024_CS_1,P.S. LA BODEGUILLA
MQ-A-3025-TE-R-S01-01,MQ_A_3025_IE_1,43044
MQ-A-3025-TE-R-S01-02,-,-
MQ-A-3026-DS-R-S01-01,MQ_A_3026_IE_1,43050
MQ-A-3026-DS-R-S01-02,-,-
MQ-A-3026-DS-R-S01-03,MQ_A_3001_CS_1,CENTRO DE SALUD CARUMAS - MOQUEGUA
MQ-A-3026-DS-R-S01-03,MQ_A_3001_DP_1,CPNP CARUMAS
MQ-A-3026-DS-R-S01-03,MQ_A_3001_IE_1,CARUMAS / HORACIO ZEBALLOS GAMEZ
MQ-A-3029-TE-R-S01-01,MQ_A_3029_IE_1,AGROPECUARIO ARTESANAL DE ARUNTAYA
MQ-A-3029-TE-R-S01-02,-,-
MQ-A-3030-IN-R-S01-01,MQ_A_3030_CS_1,P.S. SACUAYA
MQ-A-3030-IN-R-S01-01,MQ_A_3030_IE_1,FRANCISCO BOLOGNESI
