ID;Estado;Antigüedad;Tipo_de_Casa;Tiempo;Edad;Estado_Civil;Registro;Tipo_Trabajo;Gastos;Ingresos;Activos;Deuda;Monto;Precio
1;1;9;1;60;30;2;1;3;73;129;0;0;800;846
2;1;17;1;60;58;3;1;1;48;131;0;0;1000;1658
3;2;10;2;36;46;2;2;3;90;200;3000;0;2000;2985
4;1;0;1;60;24;1;1;1;63;182;2500;0;900;1325
5;1;0;1;36;26;1;1;1;46;107;0;0;310;910
6;1;1;2;60;36;2;1;1;75;214;3500;0;650;1645
7;1;29;2;60;44;2;1;1;75;125;10000;0;1600;1800
8;1;9;5;12;27;1;1;1;35;80;0;0;200;1093
9;1;0;2;60;32;2;1;3;90;107;15000;0;1200;1957
10;2;0;5;48;41;2;1;2;90;80;0;0;1200;1468
11;1;6;2;48;34;2;1;3;60;125;4000;0;1150;1577
12;1;7;2;36;29;2;1;1;60;121;3000;0;650;915
13;1;8;2;60;30;2;1;1;75;199;5000;2500;1500;1650
14;1;19;3;36;37;2;1;1;75;170;3500;260;600;940
15;2;0;6;18;21;1;2;2;35;50;0;0;400;500
16;1;0;2;24;68;2;1;1;75;131;4162;0;900;1186
17;1;15;3;24;52;1;1;3;35;330;16500;0;1500;2201
18;1;33;1;24;68;2;1;3;65;200;5000;2000;600;1350
19;2;0;4;48;36;2;1;2;45;130;750;0;1100;1511
20;1;1;5;60;31;1;1;1;35;137;0;0;1250;1253
21;2;2;1;60;25;1;1;1;46;107;0;0;1500;2189
22;1;5;2;60;22;1;1;1;45;324;10000;0;1100;1159
23;2;1;2;60;45;2;1;2;105;112;2000;500;600;1332
24;1;27;1;60;41;2;1;1;74;140;0;0;950;1497
25;1;26;2;60;51;2;1;1;45;143;3500;0;1350;1357
26;1;12;2;36;54;2;1;1;60;130;4000;0;700;2100
27;1;19;2;60;43;1;1;1;75;180;4000;0;1000;1070
28;1;15;2;36;43;2;1;1;75;251;4000;0;1800;2557
29;2;3;2;24;23;2;1;1;75;85;5000;0;600;1600
30;2;0;0;48;37;1;1;0;35;99999999;99999999;99999999;1500;1850
31;1;4;2;48;29;2;1;1;45;150;5000;3300;1100;1312
32;2;0;2;36;23;1;1;2;45;122;2500;0;400;400
33;1;14;3;24;51;2;1;2;75;198;1000;0;450;650
34;1;10;2;36;39;2;1;3;75;150;3000;0;1000;1394
35;1;12;5;36;35;1;1;1;35;170;0;0;1100;1542
36;1;32;2;24;62;2;1;3;45;119;8500;0;700;1200
37;1;10;2;24;56;2;1;3;45;208;13500;0;500;1560
38;1;7;2;48;32;2;1;1;75;115;3000;0;800;1200
39;2;1;1;54;36;2;1;1;70;99;0;0;950;950
40;1;30;2;60;64;2;1;1;45;120;14000;0;1125;1300
41;2;5;1;48;31;1;1;1;44;90;0;0;1300;1700
42;1;24;2;60;42;2;1;1;75;137;4000;0;900;1167
43;1;0;2;60;61;3;1;4;35;230;50000;0;950;1150
44;2;0;2;60;32;2;2;1;45;142;7000;3000;1250;1566
45;2;2;2;60;43;2;1;2;75;71;3000;0;1500;1552
46;1;1;5;60;26;1;1;2;35;120;0;0;1150;1300
47;1;1;2;60;49;3;1;3;35;233;15900;4500;2100;2104
48;1;15;2;36;47;2;1;1;75;289;3500;0;1500;2154
49;2;2;1;36;27;4;1;1;48;128;0;0;450;545
50;1;25;2;36;52;2;1;3;60;150;15000;0;750;1778
51;1;8;2;60;28;2;1;1;60;145;4000;1000;1600;1718
52;1;5;2;60;31;2;1;1;75;90;4000;0;900;1500
53;1;0;1;60;32;2;1;1;105;301;0;0;1200;1274
54;1;5;2;36;51;2;1;3;75;200;2100;1200;900;1015
55;1;3;5;12;37;2;1;3;60;150;500;0;500;1701
56;2;1;1;48;29;2;2;3;85;100;0;0;1000;1345
57;1;7;5;60;26;1;1;1;35;100;0;0;1000;1238
58;1;4;5;30;27;1;1;1;45;100;5000;0;500;1048
59;1;6;2;24;63;2;1;1;60;155;4000;0;600;1048
60;1;14;2;24;55;2;1;1;90;715;5000;0;800;1324
61;1;3;1;60;28;2;1;1;70;245;0;0;1830;2201
62;1;8;1;48;31;2;1;1;90;150;0;0;1100;1430
63;2;4;5;42;27;1;1;1;35;70;0;0;600;926
64;1;22;2;24;40;2;1;1;75;190;3000;0;1000;1500
65;1;2;2;36;35;2;1;1;75;152;3000;0;1000;1542
66;1;15;3;60;43;2;1;1;75;126;3000;0;1350;1360
67;1;10;2;18;34;2;1;3;75;181;4000;0;600;1000
68;1;4;2;60;37;2;1;1;60;185;3000;0;1200;1564
69;1;9;2;60;53;2;1;1;45;170;2500;0;850;1205
70;1;22;1;60;46;2;1;1;93;176;7500;0;2000;2200
71;1;18;5;36;36;2;1;3;60;238;0;0;900;2214
72;1;1;3;60;46;2;1;1;60;115;5500;800;1000;1137
73;1;14;2;48;43;2;1;1;45;200;9000;0;600;1025
